arm,backbone,mode,use_hierarchy,use_imbalance,stain_norm,seed,epochs,batch_size,lr,weight_decay,warmup_epochs,label_smoothing,aug_policy,mix_kind,mix_prob,mix_alpha,use_ema,ema_decay,tta,limit_train,use_early_stopping,early_stop_patience,run_id,best_epoch,epochs_run,total_minutes,val_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_balanced_accuracy,test_minority_macro_f1,test_minority_recall,test_minority_n,test_correct,test_within_lineage_error,test_cross_lineage_error,test_within_error_share,test_lineage_accuracy,test_head_lineage_accuracy,test_head_lineage_macro_f1
hierarchical,vit,hier,True,True,False,0,30,64,0.0003,0.05,1,0.05,randaugment,cutmix,0.5,1.0,True,0.999,True,,False,15,hierarchical__vit__seed0,26,30,114.7,0.8718903364230088,0.9573991031390134,0.873215507925647,0.8928745212338575,0.8809240251180079,0.8928745212338575,0.8370354797753972,0.7957118619667427,671,0.9573991031390134,0.0307495195387572,0.0118513773222293,0.7218045112781954,0.9881486226777708,0.9889493914157592,0.984257333009602
flat_baseline,vit,flat,False,True,False,0,30,64,0.0003,0.05,1,0.05,randaugment,cutmix,0.5,1.0,True,0.999,True,,False,15,flat_baseline__vit__seed0,27,30,59.46,0.8658428504307799,0.9564381806534272,0.8662462815547919,0.8816845127233736,0.8728063247992703,0.8816845127233736,0.8167604178230186,0.7717131982658048,671,0.9564381806534272,0.0313901345291479,0.0121716848174247,0.7205882352941176,0.9878283151825752,0.9878283151825752,0.985155465036219
flat_baseline,vit,flat,False,True,False,1,30,64,0.0003,0.05,1,0.05,randaugment,cutmix,0.5,1.0,True,0.999,True,,False,15,flat_baseline__vit__seed1,26,30,61.24,0.8771634334589601,0.9578795643818064,0.8748484267568433,0.8903819200077636,0.8807706983080915,0.8903819200077636,0.839436910831135,0.7917709402137167,671,0.9578795643818064,0.0309096732863549,0.0112107623318385,0.7338403041825095,0.9887892376681614,0.9887892376681614,0.9849024871746558
flat_baseline,vit,flat,False,True,False,2,30,64,0.0003,0.05,1,0.05,randaugment,cutmix,0.5,1.0,True,0.999,True,,False,15,flat_baseline__vit__seed2,25,30,46.52,0.8694181300210946,0.9553171044202434,0.86409737243581,0.8776157938500684,0.8691209171341406,0.8776157938500684,0.8138423082554378,0.7647805764970181,671,0.9553171044202434,0.0323510570147341,0.0123318385650224,0.7240143369175627,0.9876681614349776,0.9876681614349776,0.9849988842779483
hierarchical,vit,hier,True,True,False,1,30,64,0.0003,0.05,1,0.05,randaugment,cutmix,0.5,1.0,True,0.999,True,,False,15,hierarchical__vit__seed1,26,30,61.66,0.8846710106909943,0.9554772581678412,0.8668313839251719,0.8907715643672207,0.8759688483192426,0.8907715643672207,0.8346003562001802,0.7919449061465735,671,0.9554772581678412,0.0337924407431133,0.0107303010890454,0.7589928057553957,0.9892696989109544,0.9892696989109544,0.9857526854113556
hierarchical,vit,hier,True,True,False,2,30,64,0.0003,0.05,1,0.05,randaugment,cutmix,0.5,1.0,True,0.999,True,,False,15,hierarchical__vit__seed2,24,30,49.1,0.8701304602212585,0.9572389493914156,0.871861017201121,0.8970468792606408,0.8806824291866309,0.8970468792606408,0.8483635484175207,0.8083468620206167,671,0.9572389493914156,0.0307495195387572,0.012011531069827,0.7191011235955056,0.987988468930173,0.988468930172966,0.9856960689081066
no_imbalance,vit,hier,True,False,False,0,30,64,0.0003,0.05,1,0.05,randaugment,cutmix,0.5,1.0,True,0.999,True,,False,15,no_imbalance__vit__seed0,28,30,97.82,0.8680583799507743,0.960281870595772,0.8793148724264066,0.8507870355814788,0.862955084057531,0.8507870355814788,0.7487581484656444,0.6971974364802298,671,0.960281870595772,0.0291479820627802,0.0105701473414477,0.7338709677419355,0.9894298526585522,0.98959000640615,0.9875029172976498
no_imbalance,vit,hier,True,False,False,1,30,64,0.0003,0.05,1,0.05,randaugment,cutmix,0.5,1.0,True,0.999,True,,False,15,no_imbalance__vit__seed1,29,30,506.06,0.8597592735534173,0.9588404868673926,0.8878404243017336,0.8666751641613076,0.8763488655403038,0.8666751641613076,0.7926725065085571,0.7342260219311454,671,0.9588404868673926,0.0305893657911595,0.0105701473414477,0.7431906614785992,0.9894298526585522,0.990070467648943,0.9883875121380666
no_imbalance,vit,hier,True,False,False,2,30,64,0.0003,0.05,1,0.05,randaugment,cutmix,0.5,1.0,True,0.999,True,,False,15,no_imbalance__vit__seed2,29,30,114.22,0.8633226193497874,0.9615631005765535,0.8957746554009199,0.8684815278609879,0.8807149271180787,0.8684815278609879,0.7981794544401632,0.7365143496138906,671,0.9615631005765535,0.028507367072389492,0.009929532351057015,0.7416666666666667,0.990070467648943,0.9899103139013453,0.9887680161211514
