epoch,lr,epoch_seconds,train_fine,train_lineage,train_consistency,train_total,train_skipped_batches,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_balanced_accuracy,val_minority_macro_f1,val_minority_recall,val_minority_n,val_correct,val_within_lineage_error,val_cross_lineage_error,val_within_error_share,val_lineage_accuracy,val_head_lineage_accuracy,val_head_lineage_macro_f1
0,0.0003,196.5,0.6464178483717335,0.3510733486222737,0.28558545445020384,0.7802984027562831,0,0.011532916866890917,0.0427673658321944,0.023895956915271646,0.006716678573747827,0.023895956915271646,0.02903074372240756,0.045602918586789554,673,0.011532916866890917,0.5671952586897325,0.4212718244433766,0.5738129962728893,0.5787281755566234,0.6158897965721608,0.3148851652964529
1,0.00029912069357315393,81.0,0.32035203793639533,0.1314202308132625,0.05028479188721586,0.36480658822427564,0,0.5832131987826366,0.6471996433126379,0.453078238640193,0.4485661004774426,0.453078238640193,0.4236096660547034,0.36537778251790254,673,0.5832131987826366,0.2642960115329169,0.15249078968444657,0.6341275941583397,0.8475092103155534,0.8684927118372577,0.8769656609352513
2,0.000296493083356513,78.7,0.20280815184576068,0.0851252782608304,0.033767304561295355,0.23172246673083258,0,0.8745795290725613,0.7424122684873328,0.7607321927992867,0.7445286221723102,0.7607321927992867,0.6378314280369737,0.5888198408136809,673,0.8745795290725613,0.08841902931283037,0.03700144161460836,0.7049808429118773,0.9629985583853916,0.9432964920711197,0.9449980563642425
3,0.00029214797567742035,81.5,0.1876419007516135,0.08092485926083934,0.028203892077390963,0.21473974845690336,0,0.9059746916546532,0.783172044077132,0.8209880985297481,0.7945913890565924,0.8209880985297481,0.7345827913731623,0.6827722844383258,673,0.9059746916546532,0.06887714239948743,0.025148165945859363,0.7325383304940375,0.9748518340541407,0.9681242992151209,0.9661303278457969
4,0.0002861363129506435,82.1,0.16999445784182626,0.07182246027082528,0.02489116004371381,0.19403031279942604,0,0.9192695819317636,0.7996373162111317,0.831643075749784,0.8113903275228371,0.831643075749784,0.7382329408504662,0.6890108147045277,673,0.9192695819317636,0.0608681723530354,0.019862245715201024,0.753968253968254,0.980137754284799,0.976293448662502,0.9738540368711512
5,0.00027852857642513836,82.9,0.1554104260162057,0.06474551010065226,0.021686631273273582,0.17700274244187644,0,0.9275989107800737,0.811795774983156,0.8394285559779642,0.8213534771901624,0.8394285559779642,0.7424083373702783,0.6957422863054739,673,0.9275989107800737,0.055582252122377065,0.016818837097549257,0.7676991150442478,0.9831811629024507,0.9794970366810828,0.9777247136342821
6,0.00026941395985584653,82.3,0.1549652492550412,0.06606825086908048,0.02144641794243848,0.1769303669404573,0,0.9320839340060868,0.8148248032736818,0.8466299473392088,0.8266142827864472,0.8466299473392088,0.7531887862947042,0.7091996912687119,673,0.9320839340060868,0.05157776709915105,0.016338298894762134,0.7594339622641509,0.9836617011052379,0.9827006246996636,0.9797145496904639
7,0.0002588993237884696,83.4,0.13730398598780816,0.057764943841344354,0.018596705451484893,0.15649314001708625,0,0.9359282396283838,0.8208615479818587,0.8495823833667586,0.8315444391240339,0.8495823833667586,0.7561232994265176,0.7099909902161402,673,0.9359282396283838,0.0490148966842864,0.01505686368732981,0.765,0.9849431363126702,0.9831811629024507,0.9805958801632325
8,0.00024710794271727413,82.0,0.1421683521830856,0.06149595787663329,0.019685422176761287,0.16258568334017917,0,0.940893801057184,0.8346016672839782,0.8640272690332375,0.8458013835897247,0.8640272690332375,0.787384569252712,0.7381566283346893,673,0.940893801057184,0.04645202626942175,0.012654172673394202,0.7859078590785907,0.9873458273266058,0.9847829569117411,0.9817997991882533
9,0.00023417805980435733,83.4,0.13001443971042437,0.0573901528112977,0.018125959267778383,0.14904408230034896,0,0.9396123658497517,0.8303945348673807,0.8622540685122231,0.8425307498670993,0.8622540685122231,0.7828178821726317,0.7363586741912792,673,0.9396123658497517,0.048053820278712155,0.01233381387153612,0.7957559681697612,0.9876661861284639,0.9867051097228896,0.9832851280413744
