epoch,lr,epoch_seconds,train_fine,train_lineage,train_consistency,train_total,train_skipped_batches,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_balanced_accuracy,val_minority_macro_f1,val_minority_recall,val_minority_n,val_correct,val_within_lineage_error,val_cross_lineage_error,val_within_error_share,val_lineage_accuracy,val_head_lineage_accuracy,val_head_lineage_macro_f1
0,0.0003,416.5,0.5067811442600502,0.17811545524950867,0.08708040976262355,0.5689238241085639,0,0.34038122697421114,0.4526744388707299,0.2638396628661184,0.25905487536591654,0.2638396628661184,0.17016863636447083,0.1894068005023946,673,0.34038122697421114,0.3211596988627263,0.33845907416306265,0.4868868382710053,0.6615409258369374,0.7586096427999359,0.77211967916598
1,0.0002713525491562421,199.2,0.3241600574864136,0.10522837391593955,0.049638135188801606,0.36069238585430186,0,0.7888835495755245,0.6706100200309347,0.6306122791662253,0.6190235603467175,0.6306122791662253,0.4712977643137067,0.41958531227842655,673,0.7888835495755245,0.1311869293608842,0.07992952106359122,0.6213960546282246,0.9200704789364088,0.9314432164023707,0.9226207290288736
2,0.0001963525491562421,207.3,0.11721451497012442,0.03781619047602782,0.02533768865146807,0.13109314153482626,0,0.8672112766298254,0.7360912953926021,0.7943797304433717,0.751627995859857,0.7943797304433717,0.6982434097940047,0.6645885815953767,673,0.8672112766298254,0.09594746115649527,0.036841262213679324,0.7225572979493365,0.9631587377863207,0.964279993592824,0.9637970912252123
3,0.0001036474508437579,206.0,0.06995505986551007,0.02358171010893964,0.012618033007646983,0.0782913765061524,0,0.8923594425756848,0.7922210092161635,0.7583884767402119,0.7460346097095056,0.7583884767402119,0.57731068802468,0.5608974332849722,673,0.8923594425756848,0.07544449783757809,0.032196059586737144,0.7008928571428571,0.9678039404132629,0.9636392759891078,0.961521446656438
4,2.8647450843757897e-05,203.6,0.04665280918252992,0.016650731992270736,0.007331201049836946,0.0523811487317249,0,0.9207111965401249,0.8101935497921904,0.8396517385502199,0.8140117787481421,0.8396517385502199,0.7554074837343727,0.7054573486777025,673,0.9207111965401249,0.061508889956751564,0.0177799135031235,0.7757575757575758,0.9822200864968765,0.9836617011052379,0.9814348488245795
5,0.0,3987.4,0.033644631907732765,0.011644425649281621,0.004336732270830607,0.03757163297569195,0,0.9426557744674035,0.8331737660273606,0.8713950873171734,0.8460549960009123,0.8713950873171734,0.8026531315253141,0.7586346745795163,673,0.9426557744674035,0.043889155854557105,0.013455069678039404,0.7653631284916201,0.9865449303219606,0.9873458273266058,0.9824811857450988
