epoch,lr,epoch_seconds,train_fine,train_lineage,train_consistency,train_total,train_skipped_batches,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_balanced_accuracy,val_minority_macro_f1,val_minority_recall,val_minority_n,val_correct,val_within_lineage_error,val_cross_lineage_error,val_within_error_share,val_lineage_accuracy,val_head_lineage_accuracy,val_head_lineage_macro_f1
0,0.0003,121.7,0.5686536202718924,0.24974968773978098,0.2251804278938325,0.6660965730855753,0,0.3131507288162742,0.24473579572866289,0.20889019616812043,0.17990899906766933,0.20889019616812043,0.1611117963403603,0.15254352043421882,673,0.3131507288162742,0.31283037001441616,0.37401890116930964,0.4554570895522388,0.6259810988306904,0.7654973570398846,0.7857774044072866
1,0.00029969180891255043,66.6,0.15371191765253361,0.05194252000835079,0.03954203029337165,0.17324887749094228,0,0.8492711837257728,0.7127717356402644,0.7476616729540959,0.7152610262115038,0.7476616729540959,0.631857030783392,0.5929126667983057,673,0.8492711837257728,0.11164504244754124,0.03908377382668589,0.740701381509033,0.9609162261733141,0.9633189171872497,0.9607924014110433
2,0.0002987685020734869,68.7,0.08328013034066656,0.02726374626783961,0.017492329825616472,0.09320848755702213,0,0.8752202466762774,0.7385098666162869,0.8045631251680292,0.7592466258994999,0.8045631251680292,0.7244842675077002,0.6795476704230442,673,0.8752202466762774,0.09514656415185008,0.029633189171872496,0.7625160462130937,0.9703668108281275,0.9698862726253403,0.964090039390631
3,0.0002972338735486598,69.4,0.07082164129139958,0.024296349976825844,0.013983813266955561,0.07950892805398166,0,0.8747397084734904,0.7450774303020988,0.8128095230422979,0.7642438829970685,0.8128095230422979,0.7472634492234907,0.6870228278188462,673,0.8747397084734904,0.08569597949703668,0.03956431202947301,0.6841432225063938,0.960435687970527,0.9678039404132629,0.957971218380031
4,0.0002950942294558544,69.7,0.06441065866377327,0.021558639122899827,0.01235649687708816,0.07211390025913715,0,0.8846708313310908,0.7683292839990945,0.7919321399482002,0.7596498531906584,0.7919321399482002,0.7037527123455498,0.6387023069748807,673,0.8846708313310908,0.07976934166266218,0.035559827006247,0.6916666666666667,0.964440172993753,0.9662021464039724,0.9605511828709185
5,0.0002923583620516003,69.6,0.05811948030163626,0.01953505741299263,0.010621306499220676,0.06504212839754073,0,0.9218324523466283,0.8046462913366197,0.8352676301651063,0.808197751985898,0.8352676301651063,0.7399125761365918,0.6964282945568997,673,0.9218324523466283,0.053019381707512414,0.025148165945859363,0.6782786885245902,0.9748518340541407,0.9711677078327727,0.9417469264136615
6,0.0002890375136019032,69.8,0.05264695121568965,0.017237039988573927,0.008922179362091881,0.05871028143011934,0,0.8986064392119173,0.7766170293871142,0.8086712448020652,0.7788914685434606,0.8086712448020652,0.6902224955296052,0.6607085515716045,673,0.8986064392119173,0.07880826525708794,0.022585295530994715,0.7772511848341233,0.9774147044690052,0.9783757808745795,0.9720286353877122
7,0.0002851453301853628,70.5,0.05317458438042265,0.01802634779091382,0.008895412334599173,0.059472030071684945,0,0.9162261733141118,0.7886762041916016,0.7920380066497352,0.7763115707302352,0.7920380066497352,0.6312886063574192,0.606620125217233,673,0.9162261733141118,0.06359122216882909,0.020182604517059107,0.7590822179732314,0.9798173954829409,0.9782156014736505,0.9747822694841481
8,0.00028069780561850837,70.0,0.046772948711864895,0.015271648794545659,0.007598486597455301,0.0521142922321355,0,0.9048534358481499,0.7691975011585322,0.8148383795466846,0.7829636795869989,0.8148383795466846,0.6968415271431664,0.6745654336730733,673,0.9048534358481499,0.07320198622457152,0.021944577927278552,0.7693602693602694,0.9780554220727214,0.9799775748838699,0.973207082437464
9,0.000275713215733776,69.7,0.04459696771771453,0.015193563097496875,0.007953460583115345,0.04995038285032734,0,0.9194297613326926,0.7881982113222602,0.8260663630800082,0.7928142952878356,0.8260663630800082,0.6982139382101265,0.6773422161685536,673,0.9194297613326926,0.06054781355117732,0.020022425116130067,0.7514910536779325,0.9799775748838699,0.9794970366810828,0.9747860064067074
10,0.0002702120432801935,70.0,0.04288792791929874,0.014924265522059504,0.007009892881551123,0.04806619712284633,0,0.9152650969085375,0.8002012050169536,0.8233588724261766,0.7980654439217049,0.8233588724261766,0.7183851110756827,0.6617356106523669,673,0.9152650969085375,0.06375140156975813,0.02098350152170431,0.7523629489603024,0.9790164984782956,0.9804581130866571,0.9764678139878895
11,0.0002642168937553701,69.7,0.04128097919286689,0.015164434085030794,0.006913475515218554,0.04652165712195111,0,0.9042127182444337,0.7735292314759704,0.8020875735812732,0.774826810067561,0.8020875735812732,0.667138166559724,0.6356819941774683,673,0.9042127182444337,0.07208073041806824,0.023706551337497998,0.7525083612040134,0.976293448662502,0.976293448662502,0.9731089751037493
