epoch,lr,epoch_seconds,train_fine,train_lineage,train_consistency,train_total,train_skipped_batches,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_balanced_accuracy,val_minority_macro_f1,val_minority_recall,val_minority_n,val_correct,val_within_lineage_error,val_cross_lineage_error,val_within_error_share,val_lineage_accuracy,val_head_lineage_accuracy,val_head_lineage_macro_f1
0,0.0003,521.0,0.5711277293634939,0.2726816389586899,0.23758752639149572,0.67669097669832,0,0.2229697260932244,0.25358563526628314,0.18933319074966432,0.14024375903809028,0.18933319074966432,0.10931649445652014,0.15714686371792536,673,0.2229697260932244,0.32276149287201666,0.45426878103475893,0.4153782725211297,0.545731218965241,0.6512894441774788,0.7032309525440339
1,0.00029969180891255043,166.8,0.15451671600669295,0.05278170281141014,0.03968134680046485,0.1743193618953228,0,0.8954028511933365,0.7619075466803191,0.7738953492562681,0.7612539022575446,0.7738953492562681,0.6409776536036477,0.5988336710701276,673,0.8954028511933365,0.07672593304501041,0.02787121576165305,0.7335375191424196,0.9721287842383469,0.972288963639276,0.9698086151776302
2,0.0002987685020734869,164.6,0.07641119890037801,0.026329601725696452,0.017675547578095734,0.08607763440890627,0,0.916706711516899,0.7846795846334954,0.8046208519765832,0.7927180769457672,0.8046208519765832,0.6789816726558231,0.6372035947212636,673,0.916706711516899,0.06311068396604197,0.020182604517059107,0.7576923076923077,0.9798173954829409,0.9758129104597149,0.9677245420563524
3,0.0002972338735486598,163.8,0.06299246699231995,0.020930305004355262,0.013154892098404222,0.07058704781581412,0,0.9045330770462918,0.7757180414709267,0.7937650687110508,0.7775797113842208,0.7937650687110508,0.6584413055675709,0.6149359428242775,673,0.9045330770462918,0.056863687329809384,0.038603235623898766,0.5956375838926175,0.9613967643761012,0.9612365849751722,0.9226824677005568
4,0.0002950942294558544,109.6,0.05845703611989598,0.01932970001087217,0.011632595667717877,0.0654192058881233,0,0.9064552298574403,0.7811723192232857,0.814175438932313,0.7871058931178617,0.814175438932313,0.7117374926911062,0.670956370695305,673,0.9064552298574403,0.06999839820599071,0.023546371936568958,0.7482876712328768,0.9764536280634311,0.9742111164504245,0.9689777010320991
5,0.0002923583620516003,64.4,0.05196393232506055,0.0172576730977488,0.009702489878163561,0.058111483376514124,0,0.8797052699022906,0.7756169868214112,0.8301589045343356,0.7727331901827836,0.8301589045343356,0.751937890748524,0.7464420295298669,673,0.8797052699022906,0.09434566714720487,0.025949062950504566,0.7842876165113183,0.9740509370494954,0.9758129104597149,0.9690995611354839
6,0.0002890375136019032,67.0,0.04904119321093946,0.01656318384115226,0.009232966079386873,0.05493344511980047,0,0.9123818676918148,0.797141310459943,0.7967032403737379,0.7880712976752497,0.7967032403737379,0.6798900203562921,0.6114892958063713,673,0.9123818676918148,0.06214960756046772,0.025468524747717443,0.7093235831809872,0.9745314752522826,0.9714880666346308,0.9578849741389668
7,0.0002851453301853628,67.7,0.046796681147559985,0.015622972126648465,0.008367434879355541,0.05232031650349989,0,0.9080570238667307,0.7763802090731168,0.8037080745206159,0.7751308547441286,0.8037080745206159,0.6779311365998612,0.6535961442188584,673,0.9080570238667307,0.07400288322921672,0.01794009290405254,0.8048780487804879,0.9820599070959475,0.9836617011052379,0.9802305180195231
8,0.00028069780561850837,66.8,0.04529849584316732,0.014981524205183262,0.007826927110839349,0.05057564584262014,0,0.9117411500880986,0.7850217417277666,0.8432096416588774,0.7960723092504869,0.8432096416588774,0.7577554305247185,0.7257342147343995,673,0.9117411500880986,0.06647445138555182,0.021784398526349513,0.7531760435571688,0.9782156014736505,0.9794970366810828,0.9781344688232948
9,0.000275713215733776,68.0,0.04189117504386129,0.013543393475369416,0.006983397816113391,0.04665253311293302,0,0.9122216882908858,0.7839515448828337,0.8380128798345354,0.7981955685014028,0.8380128798345354,0.7689254663624201,0.7157410898185077,673,0.9122216882908858,0.06647445138555182,0.02130386032356239,0.7572992700729927,0.9786961396764376,0.9807784718885152,0.9785821809648164
