epoch,lr,epoch_seconds,train_fine,train_lineage,train_consistency,train_total,train_skipped_batches,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_balanced_accuracy,val_minority_macro_f1,val_minority_recall,val_minority_n,val_correct,val_within_lineage_error,val_cross_lineage_error,val_within_error_share,val_lineage_accuracy,val_head_lineage_accuracy,val_head_lineage_macro_f1
0,0.0003,263.8,0.662566582567464,0.365646091248013,0.34128552233124826,0.806388967319171,0,0.014896684286400768,0.04497467868993719,0.025286756160603288,0.008641677555840934,0.025286756160603288,0.02710474791972589,0.04425883256528418,673,0.014896684286400768,0.5744033317315393,0.4106999839820599,0.583089430894309,0.5893000160179401,0.6128463879545091,0.28438617131996924
1,0.00029912069357315393,92.4,0.29544468523947853,0.11931584461110403,0.050435813074256035,0.33628302160215057,0,0.7304180682364247,0.6224744274128565,0.6008946384792474,0.579650390812962,0.6008946384792474,0.4852414490796063,0.43293225328018103,673,0.7304180682364247,0.1882107960916226,0.08137113567195259,0.6981580510992276,0.9186288643280475,0.897485183405414,0.900119072070756
2,0.000296493083356513,98.2,0.19784389716180445,0.08059984624232887,0.03134340387206156,0.22515819262758888,0,0.8800256287041487,0.7423230287793665,0.7730150426284091,0.751034059487567,0.7730150426284091,0.6585937238527941,0.6173567394257908,673,0.8800256287041487,0.08409418548774628,0.03588018580810508,0.7009345794392523,0.964119814191895,0.9533877943296492,0.9511362214830755
3,0.00029214797567742035,99.4,0.18571443776093663,0.07814173388551283,0.026633369478468713,0.21182029549008025,0,0.9075764856639437,0.7870437387963376,0.8190910247416161,0.7969632179841892,0.8190910247416161,0.7311865721947263,0.6796584241579166,673,0.9075764856639437,0.06663463078648085,0.025788883549575526,0.7209705372616985,0.9742111164504245,0.9702066314271984,0.9691522972944154
4,0.0002861363129506435,99.5,0.17253906016959644,0.07002635836448237,0.02418063173459454,0.19596503205548016,0,0.9215120935447702,0.8071595684168401,0.8278807881007884,0.8143444498345567,0.8278807881007884,0.7356851341007238,0.6829283260757397,673,0.9215120935447702,0.05782476373538363,0.020663142719846227,0.736734693877551,0.9793368572801537,0.9764536280634311,0.9743593469143668
5,0.00027852857642513836,104.2,0.15427282290333863,0.06348671553563623,0.021315261445284544,0.17545036428810523,0,0.9283998077847189,0.8150433566524796,0.8353331846290741,0.8223346945941867,0.8353331846290741,0.743772171225916,0.6922266580589556,673,0.9283998077847189,0.05317956110844146,0.018420631106839662,0.7427293064876958,0.9815793688931603,0.9793368572801537,0.9765505758321811
6,0.00026941395985584653,134.6,0.15521621158854587,0.0656219872401655,0.020747771835630084,0.1769775859256653,0,0.9362485984302419,0.8265851232642322,0.8464207484999421,0.8332227949103496,0.8464207484999421,0.7533660744286753,0.7064806992821748,673,0.9362485984302419,0.0482139996796412,0.01553740189011693,0.7562814070351759,0.984462598109883,0.9822200864968765,0.9787871117804969
7,0.0002588993237884696,156.5,0.13826508130610538,0.057716104853699796,0.018207283931078164,0.15740064176187304,0,0.9391318276469646,0.8340606933661836,0.8505393204749874,0.8379904576163612,0.8505393204749874,0.7566285683218317,0.7130499093556324,673,0.9391318276469646,0.04693256447220887,0.013935607880826525,0.7710526315789473,0.9860643921191735,0.9849431363126702,0.9823868126054563
8,0.00024710794271727413,152.8,0.14424881268441922,0.06104324761386734,0.018931302313621227,0.16445491837029494,0,0.9429761332692616,0.8517271496047785,0.8645819264192244,0.8556530608159078,0.8645819264192244,0.7932158572839708,0.7421306779911956,673,0.9429761332692616,0.044850232260131344,0.01217363447060708,0.7865168539325843,0.987826365529393,0.9865449303219606,0.9827474897497016
9,0.00023417805980435733,154.6,0.131488277776552,0.05632192261936148,0.017650665988592985,0.15014992166864877,0,0.9442575684766938,0.834723826518026,0.8552174231473992,0.8430212968488666,0.8552174231473992,0.7614318512717025,0.7176505001046473,673,0.9442575684766938,0.043568797052699025,0.01217363447060708,0.7816091954022989,0.987826365529393,0.9873458273266058,0.984355543843883
