epoch,lr,epoch_seconds,train_fine,train_total,train_skipped_batches,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_balanced_accuracy,val_minority_macro_f1,val_minority_recall,val_minority_n,val_correct,val_within_lineage_error,val_cross_lineage_error,val_within_error_share,val_lineage_accuracy,val_head_lineage_accuracy,val_head_lineage_macro_f1
0,0.0003,135.5,0.6118852441204922,0.6118852441204922,0,0.04372897645362806,0.07554675527859421,0.08753623954350358,0.03982668856239585,0.08753623954350358,0.05411337612629283,0.10864216895773646,673,0.04372897645362806,0.3948422232900849,0.561428800256287,0.4128978224455611,0.43857119974371295,0.43857119974371295,0.37363765469382665
1,0.00029912069357315393,84.5,0.28695331488401443,0.28695331488401443,0,0.7134390517379465,0.6399247537780908,0.5328378536264009,0.5438262607075228,0.5328378536264009,0.39453278632236344,0.3669320947857459,673,0.7134390517379465,0.15569437770302738,0.13086657055902612,0.5433202906651761,0.8691334294409739,0.8691334294409739,0.8834965177076007
2,0.000296493083356513,83.7,0.20320045154642183,0.20320045154642183,0,0.8870735223450265,0.7672393616511215,0.7538799902414255,0.7508771379039004,0.7538799902414255,0.6099359909001136,0.5637414919827901,673,0.8870735223450265,0.0735223450264296,0.03940413262854397,0.6510638297872341,0.9605958673714561,0.9605958673714561,0.9544659894932072
3,0.00029214797567742035,83.0,0.18115332623549024,0.18115332623549024,0,0.9115809706871696,0.813080354712735,0.8143301077655868,0.805124198661842,0.8143301077655868,0.7167543696608145,0.6627754041112712,673,0.9115809706871696,0.06487265737626141,0.023546371936568958,0.7336956521739131,0.9764536280634311,0.9764536280634311,0.9680196320809576
4,0.0002861363129506435,83.8,0.1627783935404638,0.1627783935404638,0,0.9216722729456992,0.8169556197888346,0.831841840106728,0.8151144062669569,0.831841840106728,0.7345490688983347,0.6902710408546766,673,0.9216722729456992,0.05990709594746116,0.018420631106839662,0.7648261758691206,0.9815793688931603,0.9815793688931603,0.9750961003185955
5,0.00027852857642513836,84.1,0.15908804482034672,0.15908804482034672,0,0.9292007047893641,0.8267849494779244,0.8398145718160891,0.8262354988587736,0.8398145718160891,0.7455182667881523,0.7015064328839928,673,0.9292007047893641,0.05526189332051898,0.01553740189011693,0.7805429864253394,0.984462598109883,0.984462598109883,0.9799011510899409
6,0.00026941395985584653,84.3,0.14161579166735377,0.14161579166735377,0,0.9343264456190934,0.8345643983346939,0.8512881761253117,0.8351867648009629,0.8512881761253117,0.762444696492722,0.7218913794463129,673,0.9343264456190934,0.04997597308986065,0.01569758129104597,0.7609756097560976,0.9843024187089541,0.9843024187089541,0.9792817221298509
7,0.0002588993237884696,84.0,0.15328675047509957,0.15328675047509957,0,0.9362485984302419,0.8363272110836841,0.8533896237996526,0.8369362475192952,0.8533896237996526,0.7640099025700685,0.7252395937320272,673,0.9362485984302419,0.04869453788242832,0.01505686368732981,0.7638190954773869,0.9849431363126702,0.9849431363126702,0.9797751712590564
8,0.00024710794271727413,84.3,0.13983151857782378,0.13983151857782378,0,0.9412141598590421,0.8344012924767321,0.8692229073269259,0.8472512841284273,0.8692229073269259,0.796246310115253,0.7560295119240683,673,0.9412141598590421,0.04533077046291847,0.013455069678039404,0.771117166212534,0.9865449303219606,0.9865449303219606,0.982564876653577
9,0.00023417805980435733,83.4,0.13159907886841088,0.13159907886841088,0,0.9426557744674035,0.8326470049575074,0.8679545843451839,0.8464898154205341,0.8679545843451839,0.7895695565255403,0.7490938165864911,673,0.9426557744674035,0.044529873458273264,0.012814352074323241,0.776536312849162,0.9871856479256768,0.9871856479256768,0.9845384974869886
10,0.00022026126610496852,84.7,0.1278816556537012,0.1278816556537012,0,0.9439372096748359,0.8349703255321607,0.8676684558215814,0.8479703226482225,0.8676684558215814,0.7894557084698697,0.7482123178664521,673,0.9439372096748359,0.0430882588499119,0.012974531475252283,0.7685714285714286,0.9870254685247477,0.9870254685247477,0.9844153436895212
11,0.00020552072330098716,84.2,0.12144892245216432,0.12144892245216432,0,0.9442575684766938,0.8317843088870053,0.8678827352483001,0.844459147470961,0.8678827352483001,0.794101751110019,0.7484383562746602,673,0.9442575684766938,0.04340861765176998,0.01233381387153612,0.7787356321839081,0.9876661861284639,0.9876661861284639,0.9844174138833995
12,0.00019012925077938314,124.3,0.11740309600121761,0.11740309600121761,0,0.9455390036841262,0.8334858035327418,0.8687417336056096,0.8457824726299594,0.8687417336056096,0.7941605220042182,0.7487631367792353,673,0.9455390036841262,0.042127182444337656,0.01233381387153612,0.7735294117647059,0.9876661861284639,0.9876661861284639,0.9839236868260377
13,0.00017426729948291474,203.8,0.1154644547846848,0.1154644547846848,0,0.9465000800897004,0.835846249670069,0.8713546336865257,0.8475018940183063,0.8713546336865257,0.7995736969008537,0.7542901982749263,673,0.9465000800897004,0.041806823642479576,0.011693096267819959,0.781437125748503,0.98830690373218,0.98830690373218,0.9849243505679667
14,0.0001581208362878126,103.6,0.10897944327640627,0.10897944327640627,0,0.9466602594906295,0.8357219377523943,0.8731667679404099,0.847603661455269,0.8731667679404099,0.8018088475421541,0.7580843118232874,673,0.9466602594906295,0.042127182444337656,0.011212558065032836,0.7897897897897898,0.9887874419349671,0.9887874419349671,0.9857925490275954
15,0.00014187916371218736,200.2,0.10318988363446478,0.10318988363446478,0,0.948742591702707,0.8405648313769845,0.8734203461504133,0.8516326802226474,0.8734203461504133,0.8001599638751341,0.7557427527335547,673,0.948742591702707,0.04052538843504725,0.010732019862245715,0.790625,0.9892679801377543,0.9892679801377543,0.9861629774966502
16,0.0001257327005170853,206.1,0.1038077622559508,0.1038077622559508,0,0.9481018740989908,0.8390868631816364,0.8738459600242918,0.8507517845343008,0.8738459600242918,0.8016293870682534,0.7572607947845988,673,0.9481018740989908,0.040365209034118214,0.011532916866890917,0.7777777777777778,0.988467083133109,0.988467083133109,0.9850522914240684
17,0.00010987074922061689,206.3,0.09413640491567243,0.09413640491567243,0,0.9493833093064232,0.8414552434503331,0.8757996272555495,0.8525028336146468,0.8757996272555495,0.8060476825578622,0.7608040506791897,673,0.9493833093064232,0.03940413262854397,0.011212558065032836,0.7784810126582279,0.9887874419349671,0.9887874419349671,0.9862981015511346
18,9.447927669901282e-05,207.4,0.09427694252931755,0.09427694252931755,0,0.9503443857119974,0.8427734815155612,0.8730014504258947,0.8525811208560304,0.8730014504258947,0.8023726577039016,0.7538513155035773,673,0.9503443857119974,0.03924395322761493,0.010411661060387635,0.7903225806451613,0.9895883389396124,0.9895883389396124,0.9874217895309907
19,7.973873389503149e-05,202.4,0.09187975431054059,0.09187975431054059,0,0.9501842063110684,0.841638556646952,0.872696953170755,0.8523760077641799,0.872696953170755,0.801774850653707,0.7531364598046812,673,0.9501842063110684,0.03940413262854397,0.010411661060387635,0.7909967845659164,0.9895883389396124,0.9895883389396124,0.9869266797541755
