epoch,lr,epoch_seconds,train_fine,train_lineage,train_consistency,train_total,train_skipped_batches,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_balanced_accuracy,val_minority_macro_f1,val_minority_recall,val_minority_n,val_correct,val_within_lineage_error,val_cross_lineage_error,val_within_error_share,val_lineage_accuracy,val_head_lineage_accuracy,val_head_lineage_macro_f1
0,0.0003,135.1,0.6155287612132925,0.337991718946986,0.2293791767823827,0.7398641970540453,0,0.08329328848310108,0.04871979473583759,0.07097669092355713,0.027828466455528333,0.07097669092355713,0.014798353568315359,0.03531018882960631,673,0.08329328848310108,0.3890757648566394,0.5276309466602594,0.4244277476847807,0.4723690533397405,0.6222969726093225,0.2604547992331026
1,0.00029912069357315393,98.6,0.2811829085662663,0.12046246742751722,0.051770819494357474,0.3224987322800464,0,0.7333012974531475,0.6802053056980211,0.6267337857382859,0.6133783668522733,0.6267337857382859,0.5753320308331045,0.5382663165261564,673,0.7333012974531475,0.17860003203588018,0.08809867051097228,0.6696696696696697,0.9119013294890277,0.913022585295531,0.9162423483948267
2,0.000296493083356513,101.8,0.20301801608263687,0.08520678628484493,0.034945604929720965,0.23207461401981463,0,0.8872337017459555,0.7583819815971368,0.7869380001490138,0.7677698351198802,0.7869380001490138,0.6767606448486814,0.634734197388142,673,0.8872337017459555,0.08008970046452027,0.03267659778952427,0.7102272727272727,0.9673234022104757,0.960756046772385,0.9586658064632534
3,0.00029214797567742035,97.8,0.18191391245098962,0.07704215825472015,0.028560305675389346,0.2078825912589475,0,0.9114207912862405,0.8032878390660002,0.8167050658071533,0.8061368265928253,0.8167050658071533,0.7256663510599024,0.6677337730998163,673,0.9114207912862405,0.06615409258369374,0.022425116130065672,0.7468354430379747,0.9775748838699343,0.9729296812429922,0.9711719771179493
4,0.0002861363129506435,99.8,0.16913119379737734,0.07108033355749652,0.024696287666293944,0.19292492329341543,0,0.9218324523466283,0.8130191130193571,0.8287133743339392,0.8173960510459091,0.8287133743339392,0.7340227620133541,0.6836985474672621,673,0.9218324523466283,0.06022745474931924,0.01794009290405254,0.7704918032786885,0.9820599070959475,0.9798173954829409,0.9769598427796771
5,0.00027852857642513836,93.0,0.1481232418856633,0.06127782505704543,0.021286491080504524,0.16863523961929985,0,0.9296812429921512,0.8132303256113252,0.840287631861178,0.8240958884789717,0.840287631861178,0.7475019280031405,0.6998375663579124,673,0.9296812429921512,0.054460996315873776,0.01585776069197501,0.7744874715261959,0.984142239308025,0.9812590100913022,0.9756275098871895
6,0.00026941395985584653,93.9,0.1444558853804034,0.06033879952950129,0.020902914761637265,0.1646478174280124,0,0.9348069838218805,0.8188332737589786,0.8460985091763251,0.8296675387818485,0.8460985091763251,0.7513651058567752,0.7066993388446849,673,0.9348069838218805,0.05077687009450585,0.014416146083613647,0.7788697788697788,0.9855838539163864,0.9825404452987346,0.9781123758814836
7,0.0002588993237884696,94.6,0.14214931890879448,0.06082641190810011,0.01986266159974448,0.1623835094162852,0,0.9372096748358161,0.8256752031638068,0.8603506134234762,0.8394145663384736,0.8603506134234762,0.7829118214255144,0.7383424717689473,673,0.9372096748358161,0.0490148966842864,0.013775428479897486,0.7806122448979592,0.9862245715201026,0.983982059907096,0.9797272877324663
8,0.00024710794271727413,93.3,0.14151713379564693,0.06055572489445607,0.019955624229591955,0.16167941480762468,0,0.9381707512413904,0.8249975094565468,0.8639322301193085,0.8392370350155102,0.8639322301193085,0.7911719829143529,0.7461996553019188,673,0.9381707512413904,0.04869453788242832,0.013134710876181323,0.7875647668393783,0.9868652891238187,0.9843024187089541,0.9790480546189073
9,0.00023417805980435733,96.1,0.1372285676881901,0.05879779158480737,0.018422160913737922,0.15671012258170636,0,0.9412141598590421,0.8318660334813673,0.8635737139968631,0.843479918570403,0.8635737139968631,0.789575638817558,0.741558885136935,673,0.9412141598590421,0.04613166746756367,0.012654172673394202,0.784741144414169,0.9873458273266058,0.9851033157135992,0.9801787510987898
10,0.00022026126610496852,94.8,0.1296126915704929,0.056376166659029656,0.01665580895995455,0.1481911230714635,0,0.9431363126701906,0.8302512177251449,0.8632341900459819,0.8413121535857835,0.8632341900459819,0.7867254378243305,0.7385024703483063,673,0.9431363126701906,0.044850232260131344,0.012013455069678039,0.7887323943661971,0.987986544930322,0.9865449303219606,0.9818144970644908
11,0.00020552072330098716,94.0,0.1176020595475176,0.051347911941153304,0.015524201208193388,0.13455885396535527,0,0.9445779272785519,0.8313226643565751,0.8664766031660471,0.843208423641085,0.8664766031660471,0.7911235091244858,0.743616317071742,673,0.9445779272785519,0.043889155854557105,0.011532916866890917,0.791907514450867,0.988467083133109,0.9875060067275349,0.9825263947781693
12,0.00019012925077938314,94.3,0.11412443097351949,0.0497061198523683,0.01487603700044309,0.1305238714667336,0,0.9453788242831972,0.8356431481082888,0.8682521628500657,0.8468706072244001,0.8682521628500657,0.7952986036872526,0.7479416817625748,673,0.9453788242831972,0.0430882588499119,0.011532916866890917,0.7888563049853372,0.988467083133109,0.9875060067275349,0.982937452710742
13,0.00017426729948291474,97.2,0.10899640641391509,0.0486529223415244,0.014023214975208208,0.12499460487185776,0,0.9471407976934166,0.8371774122192094,0.8702801373681459,0.8488575571779657,0.8702801373681459,0.7968057253455986,0.7502705905313587,673,0.9471407976934166,0.04132628543969245,0.011532916866890917,0.7818181818181819,0.988467083133109,0.98830690373218,0.9849626399983001
14,0.0001581208362878126,94.2,0.10987739240123287,0.04774942779791271,0.013169129727060323,0.1255191346148281,0,0.9465000800897004,0.8325594589835253,0.8703388164211611,0.8443990226985216,0.8703388164211611,0.7975572568719749,0.7520910284018407,673,0.9465000800897004,0.04292807944898286,0.010571840461316675,0.8023952095808383,0.9894281595386833,0.988467083133109,0.984618366412299
15,0.00014187916371218736,97.7,0.11004893536388373,0.05120549843192075,0.013922753725917293,0.12680286099163904,0,0.9489027711036361,0.8380205791021086,0.8728151338364646,0.8494124099007491,0.8728151338364646,0.8012997072952006,0.755439242687555,673,0.9489027711036361,0.04052538843504725,0.010571840461316675,0.7931034482758621,0.9894281595386833,0.9894281595386833,0.986355872849718
16,0.0001257327005170853,92.7,0.09742951066617891,0.044299220402693,0.01197717939989621,0.11191699519594434,0,0.9500240269101393,0.8393721872376715,0.8738877311973032,0.8503294508048644,0.8738877311973032,0.8016668444425892,0.7565553141161265,673,0.9500240269101393,0.03988467083133109,0.010091302258529554,0.7980769230769231,0.9899086977414705,0.9892679801377543,0.9857042061040092
17,0.00010987074922061689,95.5,0.1002302903283061,0.04554756344095074,0.012081373442005326,0.11510269715149028,0,0.9501842063110684,0.8390830455131446,0.8745932358970909,0.8503665906571061,0.8745932358970909,0.801331434054311,0.7568267909501033,673,0.9501842063110684,0.040044850232260135,0.009770943456671472,0.8038585209003215,0.9902290565433285,0.9891078007368252,0.9855762773672049
18,9.447927669901282e-05,93.7,0.0929353714591713,0.04480052924793084,0.011848194529507104,0.10756035022648576,0,0.9503443857119974,0.839852438956664,0.8755696978001725,0.8512723189393894,0.8755696978001725,0.8031046082285396,0.7594812351162594,673,0.9503443857119974,0.03956431202947301,0.010091302258529554,0.7967741935483871,0.9899086977414705,0.9897485183405414,0.9870779193633951
19,7.973873389503149e-05,94.0,0.08491413241142962,0.040335273799818376,0.010832942232673804,0.09809800932812973,0,0.9529072561268621,0.8453204310194555,0.8783141958647687,0.8559018530546927,0.8783141958647687,0.80784568527928,0.7632959678448271,673,0.9529072561268621,0.03764215921832453,0.00945058465481339,0.7993197278911565,0.9905494153451866,0.9900688771423994,0.9873256658203977
20,6.582194019564266e-05,94.8,0.09181423138760847,0.043515915804210215,0.011056669938613425,0.10597467387782865,0,0.952426717924075,0.8437337495405323,0.8793839561504911,0.8551401431711728,0.8793839561504911,0.8086852028996085,0.7664405284074702,673,0.952426717924075,0.03844305622296973,0.00913022585295531,0.8080808080808081,0.9908697741470447,0.9907095947461156,0.9883276633710155
21,5.289205728272586e-05,94.7,0.08071160782940474,0.03891139388727885,0.009952923382509622,0.09338031868277703,0,0.9541886913342944,0.8497871701338764,0.8786014406349395,0.8588709844516338,0.8786014406349395,0.8058661743253075,0.7622456575051333,673,0.9541886913342944,0.03620054460996316,0.009610764055742432,0.7902097902097902,0.9903892359442575,0.9911901329489028,0.9891887824181889
