epoch,lr,epoch_seconds,train_fine,train_lineage,train_consistency,train_total,train_skipped_batches,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_balanced_accuracy,val_minority_macro_f1,val_minority_recall,val_minority_n,val_correct,val_within_lineage_error,val_cross_lineage_error,val_within_error_share,val_lineage_accuracy,val_head_lineage_accuracy,val_head_lineage_macro_f1
0,0.0003,434.9,0.6097837780203138,0.2689588189943806,0.2545699286591876,0.7159284192127185,0,0.2098350152170431,0.176726463264816,0.12279948367730117,0.11100211442107438,0.12279948367730117,0.016135749199063396,0.03346281590194725,673,0.2098350152170431,0.28271664263975654,0.5074483421432003,0.35779444557064666,0.4925516578567996,0.7373057824763736,0.723104102423869
1,0.0002713525491562421,182.5,0.15358127699448512,0.05060648074588524,0.036120809006740105,0.17237530286413627,0,0.8276469646003524,0.7215016040921043,0.7615210527572951,0.7123645491747147,0.7615210527572951,0.6753596801391867,0.6637471731209732,673,0.8276469646003524,0.1323081851673875,0.040044850232260135,0.7676579925650557,0.9599551497677399,0.9625180201826046,0.9495271854775349
2,0.0001963525491562421,182.6,0.07621857463945071,0.02441427767901057,0.015614634239534428,0.08510432170478852,0,0.8822681403171552,0.7859524360175153,0.7600141677765898,0.7551087633586355,0.7600141677765898,0.6427561059665585,0.6004129343135246,673,0.8822681403171552,0.08073041806823643,0.03700144161460836,0.6857142857142857,0.9629985583853916,0.9629985583853916,0.9540033407857829
3,0.0001036474508437579,182.2,0.05834802666085435,0.018335717516838684,0.010689114765417609,0.06491765365782347,0,0.9207111965401249,0.7878447094635068,0.8381913454441432,0.8001013311015812,0.8381913454441432,0.7182838751782843,0.704234095466629,673,0.9207111965401249,0.06343104276790004,0.01585776069197501,0.8,0.984142239308025,0.9835015217043088,0.9787596485886324
4,2.8647450843757897e-05,181.8,0.03748912708117412,0.012273033073358749,0.006520168128894171,0.04182305392491949,0,0.9357680602274547,0.8264517565196493,0.8599080265011332,0.8382024704845422,0.8599080265011332,0.7902641178080203,0.735546768779394,673,0.9357680602274547,0.04645202626942175,0.0177799135031235,0.7231920199501247,0.9822200864968765,0.9804581130866571,0.9784695176235664
5,0.0,182.7,0.02616611998630585,0.008166766419410602,0.004512291769548268,0.02906737914718278,0,0.9474611564952747,0.8431364553417403,0.8608187284254064,0.8488802897552635,0.8608187284254064,0.7773458404629726,0.7287220120559263,673,0.9474611564952747,0.041005926637834374,0.011532916866890917,0.7804878048780488,0.988467083133109,0.9889476213358962,0.986543779414585
