epoch,lr,epoch_seconds,train_fine,train_lineage,train_consistency,train_total,train_skipped_batches,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_balanced_accuracy,val_minority_macro_f1,val_minority_recall,val_minority_n,val_correct,val_within_lineage_error,val_cross_lineage_error,val_within_error_share,val_lineage_accuracy,val_head_lineage_accuracy,val_head_lineage_macro_f1
0,0.0003,122.4,2.3600432057957073,0.9826274218140068,0.336298285653958,2.6884612764630997,0,0.5087297773506327,0.2715100356030323,0.23839551938512527,0.2188239817676891,0.23839551938512527,0.0055018630647414996,0.002805260617760618,673,0.5087297773506327,0.2550056062790325,0.23626461637033477,0.5190740136941637,0.7637353836296652,0.6078808265257087,0.485584503148712
1,0.00029969180891255043,66.3,0.5206845336235486,0.17822689228578584,0.043356156971428424,0.5784882203890727,0,0.8963639275989108,0.7957686835964606,0.7422972627422371,0.7592332965261288,0.7422972627422371,0.6207067796980086,0.5619994175924328,673,0.8963639275989108,0.08008970046452027,0.023546371936568958,0.7727975270479135,0.9764536280634311,0.9758129104597149,0.970166524307085
2,0.0002987685020734869,68.3,0.30654380525370223,0.09255763416454851,0.011493001830672006,0.33546039707713077,0,0.8968444658016979,0.7926693255156045,0.7077664769677344,0.7170723837871296,0.7077664769677344,0.47432763404534695,0.4351677441899283,673,0.8968444658016979,0.08041005926637834,0.022745474931923755,0.7795031055900621,0.9772545250680762,0.976293448662502,0.9715019428144366
3,0.0002972338735486598,69.4,0.2546570925430937,0.07939689092153868,0.009039248784001057,0.2793800851391567,0,0.9216722729456992,0.8010113219234176,0.7632195949166811,0.7679278584785093,0.7632195949166811,0.5740433991919468,0.5306059419053142,673,0.9216722729456992,0.054140637514015696,0.02418708954028512,0.6912065439672802,0.9758129104597149,0.976293448662502,0.9718726869360091
4,0.0002950942294558544,69.4,0.22890479392730273,0.07344218988667478,0.006496458258582177,0.2515870981491529,0,0.9111004324843825,0.8146316187988735,0.7621269723900164,0.7757242267707494,0.7621269723900164,0.6147620224416236,0.5527329246100898,673,0.9111004324843825,0.061508889956751564,0.02739067755886593,0.6918918918918919,0.9726093224411341,0.9743712958513535,0.9614271242521211
5,0.0002923583620516003,69.4,0.21865311966656328,0.06561372464133816,0.005390668505992085,0.238876304767289,0,0.9256767579689252,0.8069781435242027,0.8148837031880876,0.8064759477348094,0.8148837031880876,0.6968296818072077,0.6551394409328369,673,0.9256767579689252,0.05398045811308666,0.020342783917988147,0.7262931034482759,0.9796572160820118,0.980137754284799,0.9755983996854577
6,0.0002890375136019032,69.4,0.2046874260673156,0.06327156858866687,0.0051405964173622185,0.2241829568213159,0,0.9253563991670671,0.8000706638482447,0.7648053361853395,0.7726469948225536,0.7648053361853395,0.5751242816192337,0.5288863179069213,673,0.9253563991670671,0.05606279032516418,0.018580810507768702,0.7510729613733905,0.9814191894922313,0.9772545250680762,0.9735934244820577
7,0.0002851453301853628,69.5,0.1968328062240239,0.05935716691150606,0.004511896105020071,0.21509114693809342,0,0.9290405253884351,0.810698585940168,0.7870277647511615,0.7875342752063603,0.7870277647511615,0.6197483303776463,0.5769905072795747,673,0.9290405253884351,0.05285920230658337,0.01810027230498158,0.744920993227991,0.9818997276950184,0.9822200864968765,0.9788185915734414
8,0.00028069780561850837,69.6,0.18721685349777506,0.056614190899603234,0.00398038036905096,0.2045991496766334,0,0.9232740669549896,0.8136236907961553,0.7929708099275703,0.7983073224313451,0.7929708099275703,0.6683080243461286,0.6102325002514415,673,0.9232740669549896,0.05734422553259651,0.019381707512413904,0.7473903966597077,0.9806182924875861,0.9814191894922313,0.9806110788701586
9,0.000275713215733776,69.4,0.1779802543940125,0.05478422237959291,0.0036004228507178827,0.19477556419487183,0,0.920871375941054,0.8053903117644483,0.8133336477354313,0.8005593484716834,0.8133336477354313,0.7049879222944926,0.6733824524340566,673,0.920871375941054,0.063270863366971,0.01585776069197501,0.7995951417004049,0.984142239308025,0.9831811629024507,0.9720064669175267
10,0.0002702120432801935,69.5,0.1717748381279327,0.04924563178063401,0.0034535623206705837,0.18689388462475368,0,0.9053339740509371,0.7869668424019727,0.8292547250334893,0.7960278557125048,0.8292547250334893,0.7214321385820048,0.7062110286579065,673,0.9053339740509371,0.07976934166266218,0.014896684286400768,0.8426395939086294,0.9851033157135992,0.9852634951145283,0.9814779420548169
11,0.0002642168937553701,69.8,0.15864049612165806,0.0485618809108868,0.003057032744310653,0.1735147649974941,0,0.9195899407336217,0.7948339105634323,0.7701455269140917,0.7677427049106457,0.7701455269140917,0.6002058567261775,0.580883381995531,673,0.9195899407336217,0.06503283677719045,0.015377222489187891,0.8087649402390438,0.9846227775108121,0.9860643921191735,0.9812820355256132
